JKNO,JKNAME,BIRTHDAY,AGE,HEIGHT,WEIGHT,HOMETOWN,BLOODTYPE,DEBUT,WINS_THIS_YEAR,WINS_TOTAL,PRIZE_THIS_YEAR,PRIZE_TOTAL,GI_WINS,GRADED_WINS_1,FIRST_DEBUT,FIRST_WIN_DATE,GRADED_STARTS,GRADED_WINS_2,FIRST_GI_START,FIRST_GI_WIN,RCCNTT,ORD1CNTT,ORD2CNTT,ORD3CNTT,WINRATET,QNLRATET,ORD1CNTY,ORD2CNTY,ORD3CNTY,WINRATEY,QNLRATEY,RCCNTY
00660,横山典弘 (ヨコヤマノリヒロ),1968-02-23,58,163,49,茨城県,O型,1986年(41年目),中央 7勝 (40位) 地方 0勝(0位),"中央 3,003勝 地方 57勝","中央2億1,933万円 地方 0万円","中央634億1,401万円 地方22億5,693万円","34勝(中央28勝,地方6勝,海外0勝)","224勝(中央191勝,地方33勝,海外0勝)",1986/03/01 中山2R 4歳未勝利 リキアイシンプウ (3着),1986/04/29 東京12R 4歳以上900万下 キオイゴット,1986/08/17 函館9R 函館記念(G3) キオイゴット (11着),1988/12/04 中京11R ウインターS(G3) ソダカザン,1988/04/17 東京10R 皐月賞(G1) メイブレーブ,1990/11/11 京都10R エリザベス女王杯(G1) キョウエイタップ,43758,3003,2564,2262,13.7,35.8,7,7,5,8.0,21.6,176
00689,江田照男 (エダテルオ),1972-02-08,54,156,49,福島県,A型,1990年(37年目),中央 1勝 (92位) 地方 0勝(0位),中央 976勝 地方 47勝,"中央4,582万円 地方 0万円","中央185億2,717万円 地方5億2,194万円","2勝(中央2勝,地方0勝,海外0勝)","35勝(中央29勝,地方6勝,海外0勝)",1990/03/03 中山1R 4歳以上400万下 カガミヤマ (4着),1990/04/01 中山1R 4歳以上400万下 カガミヤマ,1990/08/05 新潟11R 関屋記念(G3) サファリオリーブ (6着),1990/08/26 新潟10R 新潟記念(G3) サファリオリーブ,1991/10/27 東京10R 天皇賞(秋)(G1) プレクラスニー (1着),1991/10/27 東京10R 天皇賞(秋)(G1) プレクラスニー,37824,976,1052,1126,5.2,16.7,1,6,2,1.0,9.0,200
00733,吉田豊 (ヨシダユタカ),1975-04-19,50,159,48,茨城県,A型,1994年(33年目),中央 2勝 (79位) 地方 0勝(0位),"中央 1,345勝 地方 19勝","中央5,634万円 地方 0万円","中央269億2,646万円 地方7億3,389万円","11勝(中央9勝,地方2勝,海外2勝)","46勝(中央37勝,地方9勝,海外2勝)",1994/03/06 中山2R 4歳未勝利 チャーリーブラボー (12着),1994/03/06 中山5R 4歳新馬 エリモハヤブサ,1994/04/30 東京11R テレビ東京杯青葉賞(G3) エリモハヤブサ (11着),1996/12/01 阪神11R 阪神3歳牝馬S(G1) メジロドーベル,1996/04/14 中山10R 皐月賞(G1) トピカルコレクター (11着),1996/12/01 阪神11R 阪神3歳牝馬S(G1) メジロドーベル,37412,1345,1398,1413,7.2,22.2,2,4,7,1.9,12.6,206
01009,柴田大知 (シバタダイチ),1977-06-18,48,158,49,栃木県,B型,1996年(31年目),中央 3勝 (61位) 地方 1勝 (231位),中央 554勝 地方 26勝,"中央6,844万円 地方 325万円","中央117億2,197万円 地方2億3,813万円","3勝(中央3勝,地方0勝,海外0勝)","19勝(中央16勝,地方3勝,海外0勝)",1996/03/02 中山1R 4歳未勝利 フジノコハギ (3着),1996/03/31 中山5R 4歳未勝利 ライトオンファイア,1996/08/25 中山11R 新潟記念(G3) シャルムダンサー (11着),1997/06/29 福島11R ラジオたんぱ賞(G3) エアガッツ,1997/04/06 阪神10R 桜花賞(G1) グランシェール (16着),2013/05/05 東京11R NHKマイルC(G1) マイネルホウオウ,25343,554,695,801,4.3,16.0,3,4,2,2.8,8.4,214
01023,江田勇亮 (エダユウスケ),1978-09-04,47,160,53,北海道,A型,1997年(30年目),中央0勝(118位) 地方 0勝(0位),中央 68勝 地方 0勝,中央378万円 地方 0万円,"中央14億9,348万円 地方0万円","0勝(中央0勝,地方0勝,海外0勝)","4勝(中央4勝,地方0勝,海外0勝)",1997/03/01 中山3R 4歳未勝利 シルキーキッス (10着),1997/03/02 中山1R 4歳未勝利 アンディーン,1998/11/07 東京11R アルゼンチン共和国杯(G2) テンジンショウグン (18着),2004/06/12 東京9R 東京ハイジャンプ(J.G2) メジロロンザン,-,-,2233,68,61,108,4.3,14.9,0,0,1,0.0,9.1,11
01034,酒井学 (サカイマナブ),1980-02-04,46,154,48,新潟県,A型,1998年(29年目),中央 8勝 (37位) 地方 0勝(270位),中央 463勝 地方 16勝,中央2億764万円 地方 960万円,"中央106億9,446万円 地方4億554万円","2勝(中央2勝,地方0勝,海外0勝)","24勝(中央19勝,地方5勝,海外0勝)",1998/03/01 中京1R 4歳未勝利 ショウワヒカル (4着),1998/03/08 中京12R 4歳以上500万下 マチカネヒガノボル,1998/04/18 中京11R 小倉大賞典(G3) タヤススリーセブン (10着),2001/10/20 新潟11R カブトヤマ記念(G3) タフネススター,2001/03/25 中京11R 高松宮記念(G1) ビーチフラッグ (11着),2012/12/02 阪神11R ジャパンカップダート(G1) ニホンピロアワーズ,21596,463,536,616,4.3,15.0,8,6,5,5.1,12.1,314
01052,金子光希 (カネコミツキ),1982-03-10,44,169,54,千葉県,B型,2000年(27年目),中央0勝(118位) 地方 0勝(0位),中央 84勝 地方 0勝,中央760万円 地方 0万円,"中央20億1,130万円 地方20万円","1勝(中央1勝,地方0勝,海外0勝)","4勝(中央4勝,地方0勝,海外0勝)",2000/03/04 中山2R 4歳未勝利 アンデス (13着),2000/05/06 福島6R 4歳未勝利 キャロルグリーン,2002/10/12 中山9R 東京オータムジャンプ(J.G3) テルテルボウズ (2着),2015/08/29 新潟8R 新潟ジャンプS(J.G3) ティリアンパープル,-,-,2208,84,107,97,5.1,17.5,0,1,1,0.0,20.0,10
01059,石神深一 (イシガミシンイチ),1982-06-03,43,159,46,茨城県,B型,2001年(26年目),中央 3勝 (61位) 地方 0勝(0位),中央 218勝 地方 2勝,"中央7,101万円 地方 0万円","中央51億4,111万円 地方661万円","11勝(中央11勝,地方0勝,海外0勝)","26勝(中央26勝,地方0勝,海外0勝)",2001/03/03 中山2R 3歳未勝利 ドトウ (12着),2001/03/31 中山3R 3歳未勝利 ライデンノハナ,2002/06/30 福島11R ラジオたんぱ賞(G3) ソウゴン (3着),2013/08/17 新潟8R 新潟ジャンプS(J.G3) アサティスボーイ,-,-,6804,218,238,273,5.3,17.8,3,2,7,8.8,35.3,36
01066,∆Ů«»Ļš∑Ú (• •ů•–•Ť•∑•š•Ļ),1982-11-01,43,158,47,≤¨Ľ≥ł©,B∑Ņ,2001«Į(26«ĮŐ‹),√śĪŻ 3ĺ° (61įŐ) √Ō ż 0ĺ°(0įŐ),√śĪŻ 137ĺ° √Ō ż 0ĺ°,"√śĪŻ6,142ňŁĪŖ √Ō ż 0ňŁĪŖ","√śĪŻ27≤Į1,525ňŁĪŖ √Ō ż86ňŁĪŖ","0ĺ°(√śĪŻ0ĺ°,√Ō ż0ĺ°,≥§≥į0ĺ°)","2ĺ°(√śĪŻ2ĺ°,√Ō ż0ĺ°,≥§≥į0ĺ°)",2001/03/03 ļŚŅņ10R ŐńŐÁS(1600ňŁ≤ľ) •Ķ•ů•≥•Š°ľ•∆•Ļ (9√Ś),2001/04/22 °ŇÁ9R ĪůŐÓ∆√ Ő(500ňŁ≤ľ) •Ķ•ů•ť•“•÷•ň•Ľ•§,2002/03/03 √śĶĢ11R •»•Ť•Ņĺř√śĶĢĶ≠«į(G3) •≥•Ļ•‚•Ļ•Į•ť•ů•÷•Ž (11√Ś),2014/10/13 ŇžĶĢ8R ŇžĶĢ•Ō•§•ł•„•ů•◊(J.G2) •Ķ•ů•ž•§•«•Ś°ľ•Į,2009/11/15 ĶĢŇ‘11R •®•Í•∂•Ŕ•ĻĹų≤¶«’(G1) •Ķ•ů•ž•§•ł•„•Ļ•—°ľ (15√Ś),-,4000,137,138,183,5.5,18.3,3,3,1,10.7,25.0,29
01069,五十嵐雄祐 (イガラシユウスケ),1984-02-16,42,168,51,福島県,AB型,2002年(25年目),中央 1勝 (92位) 地方 0勝(0位),中央 218勝 地方 1勝,"中央2,481万円 地方 0万円","中央43億6,764万円 地方586万円","4勝(中央4勝,地方0勝,海外0勝)","11勝(中央11勝,地方0勝,海外0勝)",2002/03/03 中山12R 4歳以上1000万下 ヨイチキナコ (8着),2002/04/28 東京12R 4歳以上500万下 ラビットミレニア,2002/10/12 中山9R 東京オータムジャンプ(J.G3) マルゴウィッシュ,2007/10/13 東京9R 東京オータムジャンプ(J.G3) ベストグランチャ,2005/06/05 東京11R 安田記念(G1) フジサイレンス (16着),-,4113,218,196,214,7.4,21.3,1,1,3,4.2,20.8,25
01075,田辺裕信 (タナベヒロノブ),1984-02-12,42,163,52,福島県,A型,2002年(25年目),中央 9勝 (33位) 地方 0勝(0位),"中央 1,227勝 地方 13勝",中央2億31万円 地方 0万円,"中央237億3,493万円 地方7億7,498万円","10勝(中央3勝,地方7勝,海外0勝)","58勝(中央46勝,地方12勝,海外0勝)",2002/03/02 中山2R 3歳未勝利 アルファジェネラス (8着),2002/08/03 新潟12R 3歳以上500万下 ヒノデツートン,2004/04/25 福島11R 福島牝馬S(G3) トーセンリリー (16着),2011/04/24 京都11R アンタレスS(G3) ゴルトブリッツ,2010/12/19 中山11R 朝日フューチュリティ(G1) タガノロックオン (12着),2014/02/23 東京11R フェブラリーS(G1) コパノリッキー,28082,1227,1207,1222,8.7,26.0,9,10,12,7.2,24.8,250
01085,松岡正海 (マツオカマサミ),1984-07-18,41,162,50,神奈川県,B型,2003年(24年目),中央 3勝 (61位) 地方 0勝(270位),中央 908勝 地方 20勝,中央1億33万円 地方 60万円,"中央188億1,421万円 地方4億705万円","3勝(中央2勝,地方1勝,海外2勝)","41勝(中央35勝,地方6勝,海外2勝)",2003/03/01 中山12R 4歳以上1000万下 プラチナウィンク (14着),2003/03/23 中山12R 4歳以上1000万下 デュエットシチー,2003/12/21 中山11R フェアリーS(G3) コスモキャンドル (11着),2005/02/13 東京11R ダイヤモンドS(G3) ウイングランツ,2005/04/10 阪神11R 桜花賞(G1) マイネコンテッサ (17着),2007/05/13 東京11R ヴィクトリアマイル(G1) コイウタ,26734,908,938,1024,6.8,21.5,3,4,5,2.7,10.7,224
