JKNO,JKNAME,BIRTHDAY,AGE,HEIGHT,WEIGHT,HOMETOWN,BLOODTYPE,DEBUT,WINS_THIS_YEAR,WINS_TOTAL,PRIZE_THIS_YEAR,PRIZE_TOTAL,GI_WINS,GRADED_WINS_1,FIRST_DEBUT,FIRST_WIN_DATE,GRADED_STARTS,GRADED_WINS_2,FIRST_GI_START,FIRST_GI_WIN,RCCNTT,ORD1CNTT,ORD2CNTT,ORD3CNTT,WINRATET,QNLRATET,ORD1CNTY,ORD2CNTY,ORD3CNTY,WINRATEY,QNLRATEY,RCCNTY
00689,江田照男 (エダテルオ),1972-02-08,54,156,49,福島県,A型,1990年(37年目),中央 1勝 (92位) 地方 0勝(0位),中央 976勝 地方 47勝,"中央4,582万円 地方 0万円","中央185億2,717万円 地方5億2,194万円","2勝(中央2勝,地方0勝,海外0勝)","35勝(中央29勝,地方6勝,海外0勝)",1990/03/03 中山1R 4歳以上400万下 カガミヤマ (4着),1990/04/01 中山1R 4歳以上400万下 カガミヤマ,1990/08/05 新潟11R 関屋記念(G3) サファリオリーブ (6着),1990/08/26 新潟10R 新潟記念(G3) サファリオリーブ,1991/10/27 東京10R 天皇賞(秋)(G1) プレクラスニー (1着),1991/10/27 東京10R 天皇賞(秋)(G1) プレクラスニー,37824,976,1052,1126,5.2,16.7,1,6,2,1.0,9.0,200
00733,吉田豊 (ヨシダユタカ),1975-04-19,50,159,48,茨城県,A型,1994年(33年目),中央 2勝 (79位) 地方 0勝(0位),"中央 1,345勝 地方 19勝","中央5,634万円 地方 0万円","中央269億2,646万円 地方7億3,389万円","11勝(中央9勝,地方2勝,海外2勝)","46勝(中央37勝,地方9勝,海外2勝)",1994/03/06 中山2R 4歳未勝利 チャーリーブラボー (12着),1994/03/06 中山5R 4歳新馬 エリモハヤブサ,1994/04/30 東京11R テレビ東京杯青葉賞(G3) エリモハヤブサ (11着),1996/12/01 阪神11R 阪神3歳牝馬S(G1) メジロドーベル,1996/04/14 中山10R 皐月賞(G1) トピカルコレクター (11着),1996/12/01 阪神11R 阪神3歳牝馬S(G1) メジロドーベル,37412,1345,1398,1413,7.2,22.2,2,4,7,1.9,12.6,206
01009,柴田大知 (シバタダイチ),1977-06-18,48,158,49,栃木県,B型,1996年(31年目),中央 3勝 (61位) 地方 1勝 (231位),中央 554勝 地方 26勝,"中央6,844万円 地方 325万円","中央117億2,197万円 地方2億3,813万円","3勝(中央3勝,地方0勝,海外0勝)","19勝(中央16勝,地方3勝,海外0勝)",1996/03/02 中山1R 4歳未勝利 フジノコハギ (3着),1996/03/31 中山5R 4歳未勝利 ライトオンファイア,1996/08/25 中山11R 新潟記念(G3) シャルムダンサー (11着),1997/06/29 福島11R ラジオたんぱ賞(G3) エアガッツ,1997/04/06 阪神10R 桜花賞(G1) グランシェール (16着),2013/05/05 東京11R NHKマイルC(G1) マイネルホウオウ,25343,554,695,801,4.3,16.0,3,4,2,2.8,8.4,214
01046,高田潤 (タカダジュン),1980-11-03,45,165,52,大阪府,B型,1999年(28年目),中央 3勝 (61位) 地方 0勝(0位),中央 226勝 地方 3勝,"中央1億1,124万円 地方 0万円","中央51億4,212万円 地方647万円","1勝(中央1勝,地方0勝,海外0勝)","28勝(中央28勝,地方0勝,海外0勝)",1999/03/06 中京1R 4歳未勝利 ヤマカツロバリー (7着),1999/06/12 中京1R 4歳未勝利 エアウィンスレット,1999/03/14 阪神11R 報知杯4歳牝馬特別(G2) ブゼンキャンドル (9着),2001/07/22 小倉10R 小倉サマージャンプ(J.G3) ヒサコーボンバー,2004/10/17 京都11R 秋華賞(G1) ドルチェリモーネ (13着),-,4006,226,178,154,9.1,22.5,3,3,1,16.7,38.9,20
01059,石神深一 (イシガミシンイチ),1982-06-03,43,159,46,茨城県,B型,2001年(26年目),中央 3勝 (61位) 地方 0勝(0位),中央 218勝 地方 2勝,"中央7,101万円 地方 0万円","中央51億4,111万円 地方661万円","11勝(中央11勝,地方0勝,海外0勝)","26勝(中央26勝,地方0勝,海外0勝)",2001/03/03 中山2R 3歳未勝利 ドトウ (12着),2001/03/31 中山3R 3歳未勝利 ライデンノハナ,2002/06/30 福島11R ラジオたんぱ賞(G3) ソウゴン (3着),2013/08/17 新潟8R 新潟ジャンプS(J.G3) アサティスボーイ,-,-,6804,218,238,273,5.3,17.8,3,2,7,8.8,35.3,36
01069,五十嵐雄祐 (イガラシユウスケ),1984-02-16,42,168,51,福島県,AB型,2002年(25年目),中央 1勝 (92位) 地方 0勝(0位),中央 218勝 地方 1勝,"中央2,481万円 地方 0万円","中央43億6,764万円 地方586万円","4勝(中央4勝,地方0勝,海外0勝)","11勝(中央11勝,地方0勝,海外0勝)",2002/03/03 中山12R 4歳以上1000万下 ヨイチキナコ (8着),2002/04/28 東京12R 4歳以上500万下 ラビットミレニア,2002/10/12 中山9R 東京オータムジャンプ(J.G3) マルゴウィッシュ,2007/10/13 東京9R 東京オータムジャンプ(J.G3) ベストグランチャ,2005/06/05 東京11R 安田記念(G1) フジサイレンス (16着),-,4113,218,196,214,7.4,21.3,1,1,3,4.2,20.8,25
01075,田辺裕信 (タナベヒロノブ),1984-02-12,42,163,52,福島県,A型,2002年(25年目),中央 9勝 (33位) 地方 0勝(0位),"中央 1,227勝 地方 13勝",中央2億31万円 地方 0万円,"中央237億3,493万円 地方7億7,498万円","10勝(中央3勝,地方7勝,海外0勝)","58勝(中央46勝,地方12勝,海外0勝)",2002/03/02 中山2R 3歳未勝利 アルファジェネラス (8着),2002/08/03 新潟12R 3歳以上500万下 ヒノデツートン,2004/04/25 福島11R 福島牝馬S(G3) トーセンリリー (16着),2011/04/24 京都11R アンタレスS(G3) ゴルトブリッツ,2010/12/19 中山11R 朝日フューチュリティ(G1) タガノロックオン (12着),2014/02/23 東京11R フェブラリーS(G1) コパノリッキー,28082,1227,1207,1222,8.7,26.0,9,10,12,7.2,24.8,250
01077,石橋脩 (イシバシシュウ),1984-04-03,42,166,51,東京都,A型,2003年(24年目),中央 3勝 (61位) 地方 0勝(0位),中央 876勝 地方 10勝,"中央8,038万円 地方 0万円","中央176億3,764万円 地方2億5,987万円","3勝(中央2勝,地方1勝,海外0勝)","28勝(中央25勝,地方3勝,海外0勝)",2003/03/01 中山1R 3歳未勝利 マグマヴィーナス (2着),2003/03/29 中京8R 4歳以上500万下 エーピーダイモンジ,2003/12/21 中京11R CBC賞(G2) トーセンリリー (16着),2010/01/11 中山11R フェアリーS(G3) コスモネモシン,2005/10/23 京都11R 菊花賞(G1) ディーエスハリアー (14着),2012/04/29 京都11R 天皇賞(春)(G1) ビートブラック,26902,876,927,990,6.5,20.8,3,5,3,3.2,11.6,190
01085,松岡正海 (マツオカマサミ),1984-07-18,41,162,50,神奈川県,B型,2003年(24年目),中央 3勝 (61位) 地方 0勝(270位),中央 908勝 地方 20勝,中央1億33万円 地方 60万円,"中央188億1,421万円 地方4億705万円","3勝(中央2勝,地方1勝,海外2勝)","41勝(中央35勝,地方6勝,海外2勝)",2003/03/01 中山12R 4歳以上1000万下 プラチナウィンク (14着),2003/03/23 中山12R 4歳以上1000万下 デュエットシチー,2003/12/21 中山11R フェアリーS(G3) コスモキャンドル (11着),2005/02/13 東京11R ダイヤモンドS(G3) ウイングランツ,2005/04/10 阪神11R 桜花賞(G1) マイネコンテッサ (17着),2007/05/13 東京11R ヴィクトリアマイル(G1) コイウタ,26734,908,938,1024,6.8,21.5,3,4,5,2.7,10.7,224
01087,上野翔 (ウエノショウ),1985-12-23,40,167,51,熊本県,B型,2004年(23年目),中央 4勝 (56位) 地方 0勝(0位),中央 102勝 地方 0勝,"中央7,182万円 地方 0万円","中央19億6,574万円 地方24万円","0勝(中央0勝,地方0勝,海外0勝)","3勝(中央3勝,地方0勝,海外0勝)",2004/03/07 中京7R 4歳以上500万下 カリスマサンロード (4着),2004/08/14 小倉2R 3歳未勝利 ホーマンパキラ,2008/11/01 京都11R 毎日放送賞スワンS(G2) トーセンザオー (14着),2022/06/25 東京8R 東京ジャンプS(J.G3) ケイティクレバー,-,-,3716,102,119,140,4.3,15.2,4,2,1,11.8,20.6,35
01092,津村明秀 (ツムラアキヒデ),1986-01-05,40,168,51,千葉県,O型,2004年(23年目),中央 21勝 (11位) 地方 0勝(270位),中央 750勝 地方 2勝,"中央5億7,727万円 地方 240万円","中央161億1,858万円 地方7,493万円","1勝(中央1勝,地方0勝,海外0勝)","26勝(中央26勝,地方0勝,海外0勝)",2004/03/06 中京4R 3歳未勝利 ブーゲンビリア (4着),2004/03/21 中京5R 4歳以上500万下 マグマヴィーナス,2005/04/03 中山11R ダービー卿チャレンジ(G3) ミッドタウン (11着),2006/07/02 福島11R ラジオNIKKEI賞(G3) タマモサポート,2009/03/29 中京11R 高松宮記念(G1) アイルラヴァゲイン (13着),2024/05/12 東京11R ヴィクトリアマイル(G1) テンハッピーローズ,24870,750,892,929,6.0,20.7,21,19,15,10.9,28.5,386
