PRNO,PRNAME,BIRTHDAY,PRGUBUN,ORD1CNTT,ORD2CNTT,ORD3CNTT,RCCNTT,CHAKSUNT,ORD1CNTY,ORD2CNTY,ORD3CNTY,RCCNTY,CHAKSUNY
00423,上原博之,19570125,美浦,519,533,571,14798,1120950,3,5,5,148,6303
00427,森秀行,19590312,栗東,865,837,707,18436,2091401,8,5,4,159,18484
00431,谷潔,19570111,栗東,404,504,528,13806,792304,2,5,2,140,4805
01008,杉浦宏昭,19600803,美浦,435,496,561,14987,859261,4,0,2,148,5265
01017,萩原清,19590303,美浦,742,603,520,11979,1278595,6,4,5,101,12938
01020,相沢郁,19590619,美浦,528,545,599,15619,1019639,4,4,6,166,8140
01023,伊藤圭三,19630328,美浦,589,614,602,15975,974884,10,5,3,213,15009
01024,萱野浩二,19600228,美浦,344,335,386,12808,562168,2,3,3,131,3713
01026,鈴木伸尋,19591026,美浦,448,445,459,12695,762971,5,5,3,147,9013
01027,田村康仁,19630330,美浦,656,684,600,16232,1103311,4,7,2,142,7949
01047,勢司和浩,19620214,美浦,358,344,378,10154,577523,1,3,4,124,3275
01051,岩戸孝樹,19660723,美浦,365,421,421,12777,619790,10,4,6,157,15480
01054,戸田博文,19631001,美浦,529,572,551,14141,1039069,1,3,3,114,4171
01055,藤原英昭,19650629,栗東,954,737,625,12851,2134962,18,13,13,210,39874
01061,友道康夫,19630811,栗東,813,628,551,11045,2322026,9,9,7,170,34145
01063,的場均,19570325,美浦,195,211,220,9112,313782,0,0,0,90,198
01064,武藤善則,19670321,美浦,368,391,386,12074,633832,4,5,2,135,10813
01067,久保田貴士,19670917,美浦,543,483,503,10898,964106,3,8,8,124,7772
01068,小島茂之,19680215,美浦,378,382,331,10286,667887,4,2,1,110,5405
01070,堀宣行,19671109,美浦,846,558,488,10350,2044018,9,10,4,116,36226
01074,奥平雅士,19720622,美浦,320,351,353,10167,534948,3,5,4,129,7122
01075,矢作芳人,19610320,栗東,961,864,787,19313,2375286,20,17,12,294,39708
01076,小笠倫弘,19710719,美浦,299,284,327,9563,479335,5,2,7,120,6996
01079,古賀慎明,19650611,美浦,370,428,372,9619,691413,3,2,8,120,4535
01080,清水英克,19650924,美浦,258,261,287,9420,448418,0,1,2,126,1350
01084,梅田智之,19690420,栗東,329,361,418,10178,724661,8,6,8,186,15368
01085,小崎憲,19710330,栗東,323,311,341,9129,574706,6,6,10,153,9313
01086,斎藤誠,19710407,美浦,565,571,504,13105,1046528,12,8,10,246,21169
01088,高木登,19650525,美浦,417,402,426,10432,816547,7,9,7,192,23498
01089,武市康男,19710709,美浦,250,316,321,10857,446588,1,3,3,159,5299
01093,松永康利,19650215,美浦,114,159,187,7429,205125,1,2,6,135,3361
01095,荒川義之,19680521,栗東,337,425,383,11005,675259,5,3,4,175,9817
01096,粕谷昌央,19650904,美浦,142,180,193,7851,248479,3,5,4,116,6061
01097,鹿戸雄一,19620523,美浦,512,531,442,10553,1106210,13,13,9,176,32692
01098,野中賢二,19650929,栗東,394,334,310,8013,725349,8,10,4,164,19787
01099,本田優,19590104,栗東,429,419,454,11690,809508,0,6,9,175,6996
01100,松山将樹,19700602,美浦,155,190,250,7903,258652,0,3,2,134,2459
01102,大竹正博,19691230,美浦,409,327,311,8301,727367,13,7,8,146,21535
01103,尾関知人,19711217,美浦,383,298,307,8883,730634,2,2,2,120,5362
01106,牧光二,19730210,美浦,379,427,405,10911,622043,6,9,6,200,9369
01108,矢野英一,19700224,美浦,299,303,350,8815,471222,6,3,3,124,6090
01110,清水久詞,19720704,栗東,475,451,476,11909,1101791,5,11,7,261,14901
01112,田島俊明,19740116,美浦,236,259,280,8868,396789,8,5,5,159,15744
01114,和田正一郎,19741003,美浦,243,217,245,7360,482372,3,0,5,102,4257
01115,菊沢隆徳,19700210,美浦,302,287,286,7418,618847,4,5,10,134,8243
01116,新開幸一,19661021,美浦,194,241,223,6487,335091,1,1,5,107,5529
01119,田中剛,19610213,美浦,170,235,200,6343,396515,2,5,3,109,6141
01121,角田晃一,19701118,栗東,326,352,333,7750,596620,6,3,5,140,9498
01124,大和田成,19760428,美浦,198,203,219,6839,343244,3,0,3,139,4471
01125,小野次郎,19700801,美浦,159,170,200,7177,271908,2,2,3,121,3981
01126,木村哲也,19721116,美浦,453,330,306,6117,1211274,3,4,5,89,24797
01127,栗田徹,19780316,美浦,316,303,325,7898,597215,12,11,12,212,19561
01132,金成貴史,19691005,美浦,235,222,274,7046,407679,1,2,3,160,4416
01133,黒岩陽一,19801222,美浦,225,192,225,6407,431024,6,7,4,168,10870
01134,高橋文雅,19720428,美浦,162,206,207,6133,296630,1,1,3,121,2052
01135,高橋康之,19721210,栗東,137,144,164,5852,277624,3,0,3,166,4949
01141,尾形和幸,19760504,美浦,175,175,194,6305,277402,3,4,3,157,5953
01143,和田雄二,19690814,美浦,121,142,163,6576,215266,1,0,0,124,1331
01147,武井亮,19801225,美浦,268,264,257,6203,468007,5,1,9,159,12702
01149,松下武士,19801214,栗東,236,208,231,6259,479114,9,7,8,161,24231
01151,斉藤崇史,19820829,栗東,319,247,236,5339,862709,7,9,13,189,58175
01152,竹内正洋,19790111,美浦,169,195,182,5425,289934,4,6,5,141,8247
01153,中舘英二,19650722,美浦,236,241,173,5611,363661,9,8,7,164,14828
01156,青木孝文,19810923,美浦,105,136,143,4865,215076,0,6,0,182,4025
01157,杉山晴紀,19811224,栗東,383,335,269,6443,979381,18,19,7,218,46760
01159,高柳大輔,19770607,栗東,191,194,187,4052,475076,8,9,6,153,11972
01163,林徹,19790404,美浦,165,140,125,3580,326383,7,11,8,134,19412
01169,加藤士津八,19850202,美浦,131,137,150,3593,265317,13,4,13,149,16674
01171,小手川準,19711116,美浦,57,84,100,3132,130391,7,4,3,147,9084
01172,新谷功一,19770308,栗東,118,112,114,3112,214911,7,4,4,144,9492
01173,長谷川浩大,19831119,栗東,139,132,154,3383,328811,6,9,5,156,11131
01174,深山雅史,19770208,美浦,70,80,111,3365,163565,3,5,4,151,4669
01177,伊坂重信,19770101,美浦,67,55,80,2484,107812,5,4,4,142,9411
01179,鈴木慎太郎,19781219,美浦,70,68,95,2329,120450,3,5,8,152,6976
01180,田中克典,19870812,栗東,133,108,89,2297,231211,10,8,5,160,16151
01182,辻哲英,19800306,美浦,81,66,91,1969,150121,9,4,6,116,15720
01189,堀内岳志,19731005,美浦,28,45,63,1960,66608,2,7,5,151,7162
01190,村田一誠,19781220,美浦,44,51,56,1796,79600,8,7,4,120,14341
01191,蛯名正義,19690319,美浦,70,88,62,1518,133636,5,12,4,126,18651
01194,小栗実,19870204,栗東,68,56,64,1543,118309,5,7,10,170,14201
01195,嘉藤貴行,19811105,美浦,72,70,69,1687,124762,4,5,6,151,7881
01197,小椋研介,19820130,栗東,20,29,24,1026,40838,2,4,4,165,3305
01198,河嶋宏樹,19841024,栗東,31,53,48,1216,67310,7,10,10,192,14378
01199,千葉直人,19860730,美浦,31,32,47,958,58379,3,4,4,146,5116
01201,森一誠,19770928,美浦,45,32,25,719,100796,4,2,2,112,10772
01202,矢嶋大樹,19790802,美浦,19,27,24,955,37172,4,5,3,144,8080
