PRNO,PRNAME,BIRTHDAY,PRGUBUN,ORD1CNTT,ORD2CNTT,ORD3CNTT,RCCNTT,CHAKSUNT,ORD1CNTY,ORD2CNTY,ORD3CNTY,RCCNTY,CHAKSUNY
01008,杉浦宏昭,19600803,美浦,435,496,561,14987,859261,4,0,2,148,5265
01017,萩原清,19590303,美浦,742,603,520,11979,1278595,6,4,5,101,12938
01020,相沢郁,19590619,美浦,528,545,599,15619,1019639,4,4,6,166,8140
01023,伊藤圭三,19630328,美浦,589,614,602,15975,974884,10,5,3,213,15009
01024,萱野浩二,19600228,美浦,344,335,386,12808,562168,2,3,3,131,3713
01026,鈴木伸尋,19591026,美浦,448,445,459,12695,762971,5,5,3,147,9013
01027,田村康仁,19630330,美浦,656,684,600,16232,1103311,4,7,2,142,7949
01031,伊藤伸一,19590717,美浦,257,313,340,11891,451791,0,3,2,130,2245
01035,佐藤吉勝,19571104,美浦,186,247,301,11159,374031,1,0,2,136,2019
01038,手塚貴久,19640920,美浦,736,676,649,14732,1671167,16,7,10,193,36100
01039,中竹和也,19641126,栗東,701,684,633,15768,1384169,5,7,8,195,18531
01043,石栗龍彦,19580415,美浦,135,159,223,9091,247494,0,0,0,72,195
01044,昆貢,19580614,栗東,498,515,439,10676,1084251,0,2,2,94,4320
01047,勢司和浩,19620214,美浦,358,344,378,10154,577523,1,3,4,124,3275
01048,畠山吉宏,19620902,美浦,395,407,440,12377,747201,6,3,3,135,8875
01051,岩戸孝樹,19660723,美浦,365,421,421,12777,619790,10,4,6,157,15480
01052,菊川正達,19621117,美浦,335,361,437,13002,574178,3,2,3,142,4450
01059,加藤征弘,19650914,美浦,718,622,572,12612,1242342,7,5,7,142,12560
01063,的場均,19570325,美浦,195,211,220,9112,313782,0,0,0,90,198
01064,武藤善則,19670321,美浦,368,391,386,12074,633832,4,5,2,135,10813
01073,宮本博,19630327,栗東,414,475,469,10886,865804,1,6,3,141,5085
01074,奥平雅士,19720622,美浦,320,351,353,10167,534948,3,5,4,129,7122
01075,矢作芳人,19610320,栗東,961,864,787,19313,2375286,20,17,12,294,39708
01077,加藤和宏,19560304,美浦,97,171,199,8472,205560,0,1,2,96,1240
01079,古賀慎明,19650611,美浦,370,428,372,9619,691413,3,2,8,120,4535
01080,清水英克,19650924,美浦,258,261,287,9420,448418,0,1,2,126,1350
01081,中川公成,19620525,美浦,275,276,303,8723,501509,1,7,6,110,4985
01086,斎藤誠,19710407,美浦,565,571,504,13105,1046528,12,8,10,246,21169
01088,高木登,19650525,美浦,417,402,426,10432,816547,7,9,7,192,23498
01089,武市康男,19710709,美浦,250,316,321,10857,446588,1,3,3,159,5299
01090,天間昭一,19650226,美浦,152,189,204,8999,286385,3,0,2,121,3517
01094,水野貴広,19721102,美浦,273,351,361,11233,488997,3,2,8,155,7324
01096,粕谷昌央,19650904,美浦,142,180,193,7851,248479,3,5,4,116,6061
01097,鹿戸雄一,19620523,美浦,512,531,442,10553,1106210,13,13,9,176,32692
01100,松山将樹,19700602,美浦,155,190,250,7903,258652,0,3,2,134,2459
