MEET,RCDATE,RCDAY,RCNO,CHULNO,HRNAME,HRNO,PRD,SEX,AGE,HR_LAST_AMT,WGBUDAM,RATING,JKNAME,JKNO,TRNAME,TRNO,OWNAME,OWNO,ILSU,RCDIST,DUSU,RANK,PRIZECOND,AGECOND,STTIME,BUDAM,RCNAME,CHAKSUN1,CHAKSUN2,CHAKSUN3,CHAKSUN4,CHAKSUN5,CHAKSUNT,CHAKSUNY,CHAKSUN_6M,ORD1CNTT,ORD2CNTT,ORD3CNTT,RCCNTT,ORD1CNTY,ORD2CNTY,ORD3CNTY,RCCNTY
阪神,20260418,土,1,1,スマートルヴァン,2023102766,,牝,3,,55.0,,北村友,01102,上村,01168,,,,1800,15,未勝利,,サラ系３歳,09:55,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
阪神,20260418,土,1,2,ケイトバローズ,2023100601,,牝,3,,55.0,,菱田,01144,渡辺,01155,,,,1800,15,未勝利,,サラ系３歳,09:55,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
阪神,20260418,土,1,3,ジーティービキニ,2023107267,,牝,3,,55.0,,レーン,05585,松下,01149,,,,1800,15,未勝利,,サラ系３歳,09:55,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
阪神,20260418,土,1,4,ショウサンカナヲ,2023101526,,牝,3,,55.0,,酒井,01034,松下,01149,,,,1800,15,未勝利,,サラ系３歳,09:55,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
阪神,20260418,土,1,5,アンヌグロース,2023105244,,牝,3,,55.0,,国分優,01125,松下,01149,,,,1800,15,未勝利,,サラ系３歳,09:55,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
阪神,20260418,土,1,6,アグレイビューティ,2023103676,,牝,3,,55.0,,岩田望,01174,上村,01168,,,,1800,15,未勝利,,サラ系３歳,09:55,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
阪神,20260418,土,1,7,ダリアフレイバー,2023102197,,牝,3,,55.0,,鮫島駿,01157,河嶋,01198,,,,1800,15,未勝利,,サラ系３歳,09:55,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
阪神,20260418,土,1,8,アオイハルカ,2023106068,,牝,3,,55.0,,池添,01032,大久保,01058,,,,1800,15,未勝利,,サラ系３歳,09:55,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
阪神,20260418,土,1,9,コイタマチャン,2023100652,,牝,3,,55.0,,松山,01126,宮本,01073,,,,1800,15,未勝利,,サラ系３歳,09:55,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
阪神,20260418,土,1,10,メイショウメゴヒメ,2023109040,,牝,3,,55.0,,高杉,01213,大橋,01065,,,,1800,15,未勝利,,サラ系３歳,09:55,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
