MEET,RCDATE,RCDAY,RCNO,CHULNO,HRNAME,HRNO,PRD,SEX,AGE,HR_LAST_AMT,WGBUDAM,RATING,JKNAME,JKNO,TRNAME,TRNO,OWNAME,OWNO,ILSU,RCDIST,DUSU,RANK,PRIZECOND,AGECOND,STTIME,BUDAM,RCNAME,CHAKSUN1,CHAKSUN2,CHAKSUN3,CHAKSUN4,CHAKSUN5,CHAKSUNT,CHAKSUNY,CHAKSUN_6M,ORD1CNTT,ORD2CNTT,ORD3CNTT,RCCNTT,ORD1CNTY,ORD2CNTY,ORD3CNTY,RCCNTY
中山,20260418,土,1,1,エビスディアーナ,2023101659,,牝,3,,55.0,,ディー,05674,加藤征,01059,,,,1200,15,未勝利,,サラ系３歳,10:05,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
中山,20260418,土,1,2,オーシャンステラ,2023107206,,牝,3,,55.0,,横山武,01170,菊沢,01115,,,,1200,15,未勝利,,サラ系３歳,10:05,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
中山,20260418,土,1,3,サドルトウショウ,2023102971,,牝,3,,55.0,,野中,01158,萱野,01024,,,,1200,15,未勝利,,サラ系３歳,10:05,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
中山,20260418,土,1,4,アドミ,2023100283,,牝,3,,55.0,,戸崎圭,05386,中川,01081,,,,1200,15,未勝利,,サラ系３歳,10:05,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
中山,20260418,土,1,5,シャインネージュ,2023102338,,牝,3,,55.0,,石橋脩,01077,小野,01125,,,,1200,15,未勝利,,サラ系３歳,10:05,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
中山,20260418,土,1,6,セントリアン,2023100888,,牝,3,,55.0,,原,01184,萱野,01024,,,,1200,15,未勝利,,サラ系３歳,10:05,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
中山,20260418,土,1,7,ウィザードオブマリ,2023100805,,牝,3,,52.0,,▲水沼,01201,蛯名利,01131,,,,1200,15,未勝利,,サラ系３歳,10:05,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
中山,20260418,土,1,8,マリノフォルトゥナ,2023100808,,牝,3,,55.0,,武藤,01169,水野,01094,,,,1200,15,未勝利,,サラ系３歳,10:05,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
中山,20260418,土,1,9,ジャメビュ,2023102401,,牝,3,,55.0,,江田照,00689,佐藤吉,01035,,,,1200,15,未勝利,,サラ系３歳,10:05,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
中山,20260418,土,1,10,アイリーノリチャン,2023106065,,牝,3,,55.0,,木幡巧,01162,尾形,01141,,,,1200,15,未勝利,,サラ系３歳,10:05,馬齢,3歳未勝利,590,240,150,89,59,,,,,,,,,,,
