RCNO,RCNAME,RCDATE,RCDAY,RANK,STTIME,RCDIST,DUSU,MEET,AGECOND,CHAKSUN1,CHAKSUN2,CHAKSUN3,CHAKSUN4,CHAKSUN5,WETR,GOING,TRACK_TYPE,DIRECTION,RK,WAKU,CHULNO,HRNAME,HRNO,SEX,AGE,WGBUDAM,JKNAME,JKNO,RACE_RCD,MARGIN,POPULARITY,WIN_ODDS,LAST_3F,TRNAME,TRNO,RCHR_WEG,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9,distance10,distance11,distance12,distance13,distance14,distance15,distance16,distance17,distance18,distance19,distance20
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,1,5,9,ロードトライデント,2023102171,牡,3,57,横山和,01140,1:11.6,,1,1.7,37.1,美浦 千葉,01199,478 (-6),12.3,10.7,11.5,12.5,12.3,12.3,,,,,,,,,,,,,,
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,2,4,6,ニンジャトットリ,2023106658,牡,3,57,田辺,01075,1:12.2,4,2,3.0,37.9,美浦 松永康,01093,464 (+2),,,,,,,,,,,,,,,,,,,,
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,3,8,15,プラチナムディスク,2023102383,牝,3,52,▲田山,01220,1:12.7,3,3,12.6,38.5,美浦 小笠,01076,434 (+4),,,,,,,,,,,,,,,,,,,,
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,4,3,5,ツァレヴナ,2023105677,牝,3,53,△長浜,01214,1:13.0,2,4,13.0,37.8,栗東 野中,01098,448 (-6),,,,,,,,,,,,,,,,,,,,
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,5,4,7,ブレイブシュガー,2023103997,牡,3,57,吉田豊,00733,1:13.1,クビ,9,100.7,37.4,美浦 高橋文,01134,474 (0),,,,,,,,,,,,,,,,,,,,
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,6,6,10,グランキンバリー,2023104568,牝,3,55,野中,01158,1:13.2,1/2,13,192.5,38.2,美浦 松山,01100,440 (+2),,,,,,,,,,,,,,,,,,,,
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,7,3,4,マクローリン,2023101994,牡,3,57,小崎,01152,1:13.3,1/2,7,32.0,38.1,栗東 加藤公,01215,464 (-10),,,,,,,,,,,,,,,,,,,,
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,8,7,12,キョウエイハル,2023105068,牝,3,55,佐々木,01197,1:13.4,1/2,6,25.3,38.9,美浦 伊坂,01177,448 (-4),,,,,,,,,,,,,,,,,,,,
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,9,5,8,アンコンケラブル,2023100333,牡,3,57,木幡巧,01162,1:13.5,3/4,12,178.6,38.5,美浦 牧,01106,464 (-8),,,,,,,,,,,,,,,,,,,,
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,10,8,14,チッタデラモーレ,2023102621,牡,3,54,▲水沼,01201,1:13.6,アタマ,10,113.0,38.5,美浦 伊藤圭,01023,482 (+8),,,,,,,,,,,,,,,,,,,,
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,11,2,2,クィーンコッチャン,2023100272,牝,3,55,江田照,00689,1:13.6,ハナ,11,151.9,38.1,美浦 小野,01125,452 (-6),,,,,,,,,,,,,,,,,,,,
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,12,1,1,クインズスズラン,2023102753,牝,3,55,横山典,00660,1:13.7,1/2,8,40.0,38.3,美浦 村田,01190,496 (+4),,,,,,,,,,,,,,,,,,,,
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,13,6,11,ベルテオドーラ,2023107505,牝,3,55,五十嵐,01069,1:14.4,4,14,225.2,39.4,美浦 尾形,01141,418 (-2),,,,,,,,,,,,,,,,,,,,
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,14,2,3,アンセートゥモダン,2023105251,牝,3,55,松岡,01085,1:14.7,2,15,249.3,39.5,美浦 杉浦,01008,410 (-8),,,,,,,,,,,,,,,,,,,,
202606030601,3歳未勝利,2026-04-12,日,未勝利,09:50,1200,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,15,7,13,ダイメイミラクル,2023101605,牡,3,57,酒井,01034,1:14.8,クビ,5,22.0,40.0,栗東 本田,01099,518 (0),,,,,,,,,,,,,,,,,,,,
202606030602,3歳未勝利,2026-04-12,日,未勝利,10:20,1800,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,1,4,6,アルデキングダム,2023102160,牡,3,57,横山典,00660,1:55.0,,2,4.2,37.6,美浦 村田,01190,474 (+10),13,12.4,13.3,13.8,12.6,12.3,12.8,12.3,12.5,,,,,,,,,,,
202606030602,3歳未勝利,2026-04-12,日,未勝利,10:20,1800,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,2,7,12,タロ,2023102726,牡,3,54,▲田山,01220,1:55.6,3.1/2,5,16.8,38.6,栗東 新谷,01172,464 (-6),,,,,,,,,,,,,,,,,,,,
202606030602,3歳未勝利,2026-04-12,日,未勝利,10:20,1800,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,3,1,1,サクセスゴールド,2023106691,牡,3,57,田辺,01075,1:56.6,6,3,8.1,39.2,美浦 久保田,01067,488 (+2),,,,,,,,,,,,,,,,,,,,
202606030602,3歳未勝利,2026-04-12,日,未勝利,10:20,1800,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,4,2,2,ニシノモリミチ,2023100362,牡,3,57,横山武,01170,1:56.9,2,4,8.4,40.0,美浦 高木,01088,480 (-4),,,,,,,,,,,,,,,,,,,,
202606030602,3歳未勝利,2026-04-12,日,未勝利,10:20,1800,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,5,8,15,ミッキーサウザンド,2023107260,牡,3,57,横山和,01140,1:57.0,1/2,1,1.7,40.3,美浦 萩原,01017,490 (-2),,,,,,,,,,,,,,,,,,,,
202606030602,3歳未勝利,2026-04-12,日,未勝利,10:20,1800,15,中山,サラ系３歳,590,240,150,89,59,晴,稍,ダ,右,6,3,4,オックスアイ,2023105810,牡,3,57,横山琉,01192,1:57.1,クビ,6,17.5,39.9,栗東 清水久,01110,506 (-2),,,,,,,,,,,,,,,,,,,,
